Can you tell me if there is congestion between mckee and 101 in san jose	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
any slow downs this evening	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
What craft fairs are going on this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Distance from San Francisco to Los Angeles	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
What 's the best way to get to the Flea Market at rush hour ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
When do I have to leave my cousin 's house to arrive at the train station in Seattle by 6 am ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Is there a faster way to get to Cuyahoga Valley National park today	[IN:UPDATE_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
what is the traffic on the 5 freeway right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Search and display hip hop shows in Jackson	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
any cool place to view christmas lights	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
what is traffic driving from Jackson , MS to Magee , MS	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Car shows in Pleasant Hill this fall	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
when will traffic be cleared up	[IN:GET_INFO_TRAFFIC ]
What venue will Keith Urban play next	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:ORDINAL ] ]
Is there any flooding on the Saw Mill tonight ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Are there any delays on the turnpike	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Can you give me directions to Roosevelt Park that is near the hospital from my work ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:CATEGORY_LOCATION ] ] ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] ]
Food festivals near Hayward this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:DATE_TIME ] ]
Vinyl music hall events friday night	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How long will it take for me to commute from Aliana 's house to Dorothy Keck Dancers ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
What artists are playing in Nashville Saturday night	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
what 's happening this weekend in Hemet Saturday	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How long is my drive to school	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
What fun events are happening	[IN:GET_EVENT ]
are there any accidents on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
How long will it take to get to the airport	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
If I leave at 5 , what time will I arrive in Marion	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
Concerts by Luke Bryan in San Diego	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:LOCATION ] ]
fun entertaining for elderly	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:ATTRIBUTE_EVENT ] ]
What is Beyonce schedule for Oakland next week	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Get the time to New York City using the Hutchinson River Parkway .	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:PATH ] ]
Is traffic bad in Montgomery AL	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Is there a special event at Sea World on December 12	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
what 's the current traffic on i80 to sacramento	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DESTINATION ] ]
any book signings next weekend near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
What are some fun things to do in Columbus Ohio next week	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Are the roads clear this morning ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
How is the traffic around Primary School Festival ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ] ] ]
What 's the traffic between here and Best Buy	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How 's traffic on 390	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How bad is the traffic on interstate	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What is the distance between Kansas City in Moscow	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
drive time from rocklin to sacramento	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Are the roads clear to great America	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Christmas plays in NYC	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
music events in boca raton tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Movies showing at 8 pm tonight near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
how long will it take to get to philly	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
How long does it take to drive from LA to NYC	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Cookie tasting at the Chamber Office tomorrow at noon	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
how many miles to Bridgeport	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION ] ]
Any parties in philly tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Are the roads flooding this morning ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
how long will it take me to go to the cinema if i leave home at 8 pm ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
How many hours does it take to fly from Albuquerque to phoenix	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
ajmer to kashi through road	[IN:GET_DIRECTIONS [SL:SOURCE ] [SL:DESTINATION ] ]
If I take Highway 9 to Purcell will I be there by 9 pm ?	[IN:GET_ESTIMATED_ARRIVAL [SL:PATH ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
walking tours in New Orleans	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Is there construction on Third Street	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How can I get around this jam	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] ]
How far is New York City to Dallas Texas	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Get the time to aswan if i leave now using high way	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What is the time it will take to get home tonight	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
Is there going to be a carnival this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the distance between Mobile , Al and Memphis , TN	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
is there traffic going to yankee stadium	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
how long will get take to go from Mobile Al to Calera Al .	[IN:GET_ESTIMATED_DURATION [SL:SOURCE ] [SL:DESTINATION ] ]
Kids music events in Pensacola next weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How is the traffic on the Murray Baker Bridge	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Pictures with Easter Bunny next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the traffic like on the Turnpike today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
How far is it from here to Sacramento	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
Are the roads slick on the way to Albuquerque right now ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
Is the traffic around the stadium bad	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:CATEGORY_LOCATION ] ] ] ]
how many miles from Dugspur Virginia to Lexington North Carolina	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Jazz Festival next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What are road conditions for tomorrow on Alabama city	[IN:GET_INFO_ROAD_CONDITION [SL:DATE_TIME ] [SL:LOCATION ] ]
Date and location for my 25 year high school reunion	[IN:GET_EVENT [SL:ATTENDEE_EVENT ] [SL:CATEGORY_EVENT ] ]
Is the Holland Tunnel backed up this morning	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
Any upcoming accidents	[IN:GET_INFO_TRAFFIC ]
When is Beyonce coming back to do a concert in Raleigh	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
how long will it take for me to drive to Philadelphia	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
what is traffic like at 5 pm on the Eastside	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
IS it possible to ride a bike into Ocean City via 9th street ? I heard a new bridge was being built	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:PATH ] ]
Traffic from Atlanta to Alabama	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
how is the traffic to Idaho	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Holiday parade event in December	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Why is traffic so heavy right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
please tell me there is no traffic	[IN:GET_INFO_TRAFFIC ]
what are the roads to avoid during the great aloha run	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
What time should I leave my house to get to Falls City by noon ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Traffic from LA to San Francisco please	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
how long is my drive home from Compton	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE ] ]
How far is Ontario , Canada from Dallas , Texas	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
How long will it take me to drive frkmy house to Atlanta ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION ] ]
Tell me the masquerade events in downtown Detroit for Thursday and Friday the 21st and 22nd of December	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
concerts by drake	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
What is the mileage for me to drive from my mom 's house in Concord to the Park Theater in Lafayette ?	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] ]
Do you think I can make it to Boston before 1 PM today ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Is there any routes that will get my to Glass Fest that avoid construction ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] ] ] [SL:OBSTRUCTION_AVOID ] ]
Times of the Ghost Tours in Savannah	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How is the traffic from Mountain Home to Boise	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
how far is Seattle from Portland	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Where are the Christmas parties in Dallas this week	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How far is it to Main Stage entertainment ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How long is the flight from NY to Japan	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
New Years eve events	[IN:GET_EVENT [SL:DATE_TIME ] ]
dates for the 5k races in orlando for next year	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Things to do in Maui	[IN:GET_EVENT [SL:LOCATION ] ]
what is the traffic like in my area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
How is traffic today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
can i avoid traffic on my drive	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:METHOD_TRAVEL ] ]
How do I get from the Financial district to pier 39 in San Francisco ?	[IN:GET_DIRECTIONS [SL:SOURCE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] ]
If I left at 5 PM , would I be able to make it to Charlottesville before 8 PM ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
I need to find food events in Cleveland Saturday	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What is the traffic like on 85 North in Atlanta today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME ] ]
Will there be extra traffic at 630 pm because of the baseball game ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
How is the traffic driving from Baltimore to DC	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
How long will it take me to get to my friend 's if I leave right now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Is the weather affecting traffic this morning ?	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
What 's the traffic like near my house	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ] ] ]
friends who have responded to my event on Sunday	[IN:GET_EVENT_ATTENDEE [SL:ATTENDEE_EVENT [IN:GET_CONTACT [SL:TYPE_RELATION ] ] ] [SL:ORGANIZER_EVENT ] [SL:DATE_TIME ] ]
Christmas eve events	[IN:GET_EVENT [SL:DATE_TIME ] ]
How many miles is it from PA to TX	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
is it slow traffic because of the prince concert	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
If I leave before 6 pm will I get to the movie theater by 630PM ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
HOW MANY MILES IS IT FROM CALIFORNIA TO JAPAN	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Are the roads clear	[IN:GET_INFO_TRAFFIC ]
traffic in this area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
Family friendly events near me next month	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
How long is my drive from Tulsa to Owasso today	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
Art festivals this weekend near Portland	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
mardi gras parades in mississippi	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How long is a flight from Tampa to Sacramento	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Are the roads to Wall Street clear ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Tell me how to get to the lake if I leave my work at 4 PM , and want to avoid any road work .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:OBSTRUCTION_AVOID ] ]
what is my commute time from work	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
is there snow on the roads this morning	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
How long will it take for me to drive from Marry 's house to my 10 am interview ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ] ] ]
is traffic heavy on route 3	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
is there traffic on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
405 north traffic	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long is my drive to the nearby store	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
what 's happening in orange county this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Suggest interesting concert in Stamford tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
what is the traffic conditions in connecticut	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What is the traffic conditions in Akron	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How much time will it take to drive to Flagstaff	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
is the traffic heavy to the city	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
how does traffic look on the parkway south	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Will the rain impact traffic during my commute home this Friday	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME ] ]
U2 concerts in Philadelphia next year	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
are there any road closures today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Is there no traffic	[IN:GET_INFO_TRAFFIC ]
is 121 busy right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Is the traffic heavy today in Tempe	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
Are there any horror conventions coming up	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Are there delays getting out of the Paul McCartney show ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
How long will it take to reach Garten 's house if leaving my house at 8 am tomorrow morning ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Will the Transmountain road be open today ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Does the Wild Hog marathon block any streets ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
Things to do in Nevada	[IN:GET_EVENT [SL:LOCATION ] ]
christmas markets in the new york city	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Where can I find Santa on Saturday	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
How long will it take me to get to mom 's house from here if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] [SL:SOURCE ] [SL:DATE_TIME_DEPARTURE ] ]
Find me a sporting event for tomorrow	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How fast can I get to Reno on Friday night ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
is traffic currently heavy near Disneyland	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] ] ] ]
What is happening in Dallas on Sunday	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
what is the distance between los angeles and charlotte	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Things to do near me next week	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
Birthday event will resume from 3 pm	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How is traffic from home to closest supermarket	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
What 's the traveling time from Seattle to Redmond at 5 PM without using the freeway	[IN:GET_ESTIMATED_DURATION [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
If I leave for Athens at noon tomorrow , will I be there in time to celebrate New Year 's Eve ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
is it heavy traffic on ocr	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How is the traffic this evening	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Is the traffic light right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
When would I arrive in Trenton , NJ if I left now and took I - 75	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] [SL:PATH ] ]
How long will it take me to get to Harrisburg if i leave at 5PM	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
