How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
how long will it take to get from my house to the airport	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 8 9 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 11 13 ] ] ] ]
Any cool live music this coming weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 2 4 ] [SL:DATE_TIME 4 7 ] ]
where can we see holiday light displays in Cincinnati this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 7 ] [SL:LOCATION 8 9 ] [SL:DATE_TIME 9 11 ] ]
What time is rush hour traffic in Atlanta	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 5 ] [SL:LOCATION 7 8 ] ]
theater events in charlotte this week	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 6 ] ]
Will I run into construction on my way to the BLC rally ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 9 12 ] ] ] ]
Traffic on route 18	[IN:GET_INFO_TRAFFIC [SL:LOCATION 2 4 ] ]
Should I expect bad traffic on my drive home	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Avoid expressways	[IN:UPDATE_DIRECTIONS [SL:PATH_AVOID 1 2 ] ]
Where can I go sleigh riding in Philadelphia next week	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 6 ] [SL:LOCATION 7 8 ] [SL:DATE_TIME 8 10 ] ]
What is the traffic on I80 near Atlanta	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION 5 6 ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 6 7 ] [SL:LOCATION 7 8 ] ] ] ] ] ]
Can I get to Bellevue by 12 : 00 with the current traffic conditions ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION 4 5 ] [SL:DATE_TIME_ARRIVAL 5 9 ] ]
I have a doctors appointment at 2 pm , do I need to leave now to make it on time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:DATE_TIME 5 8 ] ] ] [SL:DATE_TIME_DEPARTURE 14 15 ] ]
Where is the traffic most concentrated	[IN:GET_INFO_TRAFFIC ]
what is the traffic from bradenton to tampa	[IN:GET_INFO_TRAFFIC [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
What is my commute time to the court house	[IN:GET_ESTIMATED_DURATION [SL:PATH 2 4 ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 6 9 ] ] ] ]
Are there any places to go ice - skating outdoors in New York City	[IN:GET_EVENT [SL:CATEGORY_EVENT 6 9 ] [SL:ATTRIBUTE_EVENT 9 10 ] [SL:LOCATION 11 14 ] ]
How 's the traffic through road construction on the interstate	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 8 10 ] ] ] ]
How was the traffic in Kentucky yesterday	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] [SL:DATE_TIME 6 7 ] ]
Macys Fireworks show schedule in July	[IN:GET_EVENT [SL:NAME_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 4 6 ] ]
Can I get to LA in 50 minutes	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 4 5 ] [SL:DATE_TIME_ARRIVAL 5 8 ] ]
Any food & wine events near me today	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 4 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION_USER 6 7 ] ] ] [SL:DATE_TIME 7 8 ] ]
I need to get to Keller Auditorium by seven ; what time should I leave work ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 7 ] ] ] [SL:DATE_TIME_ARRIVAL 7 9 ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
how will the traffic be when i finish here	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 8 9 ] ] ] ]
How much traffic is on the way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
To get to Vegas from my sister 's house how many hours will I be driving	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 3 4 ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED 5 6 ] [SL:TYPE_RELATION 6 7 ] ] ] [SL:METHOD_TRAVEL 15 16 ] ]
Are there toll roads driving to dallas , tx	[IN:GET_INFO_ROUTE [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 2 4 ] ] ] [SL:METHOD_TRAVEL 4 5 ] [SL:DESTINATION 6 9 ] ]
Concerts by Bruno Mars coming next weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 4 ] [SL:DATE_TIME 5 7 ] ]
Is there snow on my route to Flagstaff ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 2 3 ] [SL:DESTINATION 7 8 ] ]
what is the current traffic like	[IN:GET_INFO_TRAFFIC ]
Any alerts on Churchville st	[IN:GET_INFO_TRAFFIC [SL:LOCATION 3 5 ] ]
What route should i take to get to my dr 's appointment in Makalapa in 15 minutes	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT 8 9 ] [SL:CATEGORY_EVENT 9 12 ] [SL:LOCATION 13 14 ] ] ] [SL:DATE_TIME_ARRIVAL 14 17 ] ]
what time is the highest traffic time in gainesville	[IN:GET_INFO_TRAFFIC [SL:LOCATION 8 9 ] ]
traffic info heading to rio rancho	[IN:GET_INFO_TRAFFIC [SL:DESTINATION 4 6 ] ]
Things to do in North Macon next weekend	[IN:GET_EVENT [SL:LOCATION 4 6 ] [SL:DATE_TIME 6 8 ] ]
Is traffic heavy near my house	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT 4 5 ] ] ] ] ] ] ] ]
what time does traffic get heavy	[IN:GET_INFO_TRAFFIC ]
Where is the best Luau in Hawaii	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 5 ] [SL:LOCATION 6 7 ] ]
what is the current traffic in Richmond , VA	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 9 ] ]
Is traffic usually heavy at this time in Newport News	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 7 ] [SL:LOCATION 8 10 ] ]
was there any traffic accidents today on the garden state parkway north	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 5 6 ] [SL:LOCATION 7 12 ] ]
is traffic in augusta bad	[IN:GET_INFO_TRAFFIC [SL:LOCATION 3 4 ] ]
How long will it take me to drive from Philadelphia to Atlantic City ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:SOURCE 9 10 ] [SL:DESTINATION 11 13 ] ]
Will my drive home be longer tonight	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 2 3 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE 6 7 ] ]
is their an accident headed home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Can you please tell me how traffic is	[IN:GET_INFO_TRAFFIC ]
Rooftop parties in Memphis this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 6 ] ]
How long will it take me to get to Nadine 's house if I leave here in 1 hour ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 15 16 ] ] ] [SL:DATE_TIME_DEPARTURE 16 19 ] ]
What is my travel time to San Diego	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 6 8 ] ]
How many accidents on this freeway today ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 6 ] ] ] [SL:DATE_TIME 6 7 ] ]
What time is the Rihanna concert next week	[IN:GET_EVENT [SL:NAME_EVENT 4 5 ] [SL:CATEGORY_EVENT 5 6 ] [SL:DATE_TIME 6 8 ] ]
what time should i leave to reach gilette stadium by 11 am ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 7 9 ] ] ] [SL:DATE_TIME_ARRIVAL 9 12 ] ]
I am leaving now . What time will I get to Daytona Beach ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 3 4 ] [SL:DESTINATION 11 13 ] ]
How is the traffic between Miami and Fort Lauderdale	[IN:GET_INFO_TRAFFIC [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
Library Book club tomorrow evening	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 0 1 ] ] ] [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 3 5 ] ]
Are there any ice skating events going on this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 6 ] [SL:DATE_TIME 8 10 ] ]
Are there back roads I could take to get to hunter ski mountain by 9 am ?	[IN:GET_DIRECTIONS [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 2 4 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 10 13 ] ] ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
what time should we leave from San Antonio to get to SXSW in Austin	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE 6 8 ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 11 12 ] [SL:LOCATION 13 14 ] ] ] ]
Christmas parades this month near Brighton	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:DATE_TIME 2 4 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 4 5 ] [SL:LOCATION 5 6 ] ] ] ]
Christmas parties near New Brunswick next week	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION 3 5 ] ] ] [SL:DATE_TIME 5 7 ] ]
where can I go to see a nice Christmas Light display on Sunday	[IN:GET_EVENT [SL:DATE_TIME 8 9 ] [SL:CATEGORY_EVENT 9 11 ] [SL:DATE_TIME 11 13 ] ]
How long will the traffic last	[IN:GET_ESTIMATED_DURATION ]
How many miles for Orlando FL to Miami FL	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE 4 6 ] [SL:DESTINATION 7 9 ] ]
Birthday celebrations in New Orleans	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 5 ] ]
Show me the fastest route to the beach	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 6 8 ] ] ] ]
What is the traffic at the Lincoln tunnel	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] ]
Are there any Christmas events happening in Moncks Corner	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:LOCATION 7 9 ] ]
Any prediction about the traffic	[IN:GET_INFO_TRAFFIC ]
Is there a train that goes from Miami to Jacksonville ?	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL 3 4 ] [SL:SOURCE 7 8 ] [SL:DESTINATION 9 10 ] ]
What 's the distance between Orlando and Tampa	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
If I leave here at 9 : 00 am what time will I get to work ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 3 4 ] ] ] [SL:DATE_TIME_DEPARTURE 4 9 ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Can I get to Tanja 's house on highway 15 ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 4 5 ] ] ] [SL:PATH 8 10 ] ]
Beers on the Beach Festival near me next month	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 5 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION_USER 6 7 ] ] ] [SL:DATE_TIME 7 9 ] ]
How is the 55 north affected by the flood ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION 2 5 ] [SL:ROAD_CONDITION 7 9 ] ]
Any tree decorating events at school	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 4 ] [SL:LOCATION [IN:GET_LOCATION_SCHOOL ] ] ]
what 's the distance between dallas and houston	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
distance in new york and tempe	[IN:GET_DISTANCE [SL:SOURCE 2 4 ] [SL:DESTINATION 5 6 ] ]
Are there any traffic delays in Coral Gables	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 8 ] ]
I need to be at the MODA Center no later than noon this Sunday ; when should I leave home ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] [SL:DATE_TIME_ARRIVAL 8 14 ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
I want to know if the traffic is heavy at the railroad crossing on Spruce Street .	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION 10 13 ] [SL:LOCATION_MODIFIER 14 16 ] ] ] ]
whats the expected arrival time for ken if he takes the freeway from lax ?	[IN:GET_ESTIMATED_ARRIVAL [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 10 12 ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 13 14 ] ] ] ]
Are any of the roads in town flooded today ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION 6 7 ] [SL:ROAD_CONDITION 7 8 ] [SL:DATE_TIME 8 9 ] ]
is there a lot of traffic near me right now ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 6 7 ] [SL:LOCATION_USER 7 8 ] ] ] [SL:DATE_TIME 8 10 ] ]
Looking for a spectacular fire cracker show in the Midwest next summer	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 7 ] [SL:LOCATION 8 10 ] [SL:DATE_TIME 10 12 ] ]
How long is it to get from Orlando , FL to Tampa , FL ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE 7 10 ] [SL:DESTINATION 11 14 ] ]
what time do I need to leave to get ot church on time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 10 11 ] ] ] ]
what is the drive time from beaverton to ridgefield	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 3 4 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
Find me a bike route to the beach	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL 3 4 ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 6 8 ] ] ] ]
what things are there to do in wilkes barre this weekend	[IN:GET_EVENT [SL:LOCATION 7 9 ] [SL:DATE_TIME 9 11 ] ]
Adults only events on Friday	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:DATE_TIME 3 5 ] ]
What can I go do	[IN:GET_EVENT ]
How close am I to work ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Are all the roads to Moms house clear this morning ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 5 6 ] ] ] [SL:DATE_TIME 8 10 ] ]
New Year 's Eve celebration near Dayton	[IN:GET_EVENT [SL:DATE_TIME 0 4 ] [SL:CATEGORY_EVENT 4 5 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION 6 7 ] ] ] ]
What is happening in Tampa on Friday	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
Can I get from here to San Antonio before noon ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 4 5 ] ] ] [SL:DESTINATION 6 8 ] [SL:DATE_TIME_ARRIVAL 8 10 ] ]
WILL THE TRAFFIC BE HEAVY IN TAMPA TODAY	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 8 ] ]
Is the traffic heavy by the denver airport	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 4 5 ] [SL:POINT_ON_MAP 5 8 ] ] ] ]
What are the hours for the busiest traffic in Detroit	[IN:GET_INFO_TRAFFIC [SL:LOCATION 9 10 ] ]
Any Christmas events this weekend	[IN:GET_EVENT [SL:DATE_TIME 1 2 ] [SL:DATE_TIME 3 5 ] ]
What time should I leave to make it to the Seahawk 's game by 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 10 12 ] [SL:CATEGORY_EVENT 12 13 ] ] ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
If the basketball game starts at 8 what time do I need to leave ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 1 4 ] [SL:DATE_TIME 5 7 ] ] ] ]
How is the traffic on the way to the Dodger Stadium	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] ]
Where is the Classical music show playing	[IN:GET_EVENT [SL:CATEGORY_EVENT 2 6 ] ]
I want to know about Hotel Christmas parties in Miami	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 6 ] ] ] [SL:DATE_TIME 6 7 ] [SL:CATEGORY_EVENT 7 8 ] [SL:LOCATION 9 10 ] ]
can you give me a traffic report please	[IN:GET_INFO_TRAFFIC ]
Plan my commute	[IN:GET_DIRECTIONS [SL:PATH 1 3 ] ]
what is the traffic like on michigan avenue to ohio street in chicago now	[IN:GET_INFO_TRAFFIC [SL:PATH 6 8 ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION 9 11 ] [SL:LOCATION_MODIFIER 12 13 ] ] ] [SL:DATE_TIME 13 14 ] ]
what is the traffic from here to irving	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 5 6 ] ] ] [SL:DESTINATION 7 8 ] ]
things to do at on break tomorrow	[IN:GET_EVENT [SL:DATE_TIME 6 7 ] ]
What 's traffic like in new York	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 7 ] ]
next christmas concert	[IN:GET_EVENT [SL:ORDINAL 0 1 ] [SL:DATE_TIME 1 2 ] [SL:CATEGORY_EVENT 2 3 ] ]
Distance between Louisville and Los Angeles	[IN:GET_DISTANCE [SL:SOURCE 2 3 ] [SL:DESTINATION 4 6 ] ]
How long will it take me to drive from my house to the Grocery Store ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 12 15 ] ] ] ]
What 's the distance from Toledo to Cincinnati in time	[IN:GET_ESTIMATED_DURATION [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
I need directions from the outlet mall in San Marcos to New Braunfels without construction	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 7 ] [SL:LOCATION_MODIFIER 8 10 ] ] ] [SL:DESTINATION 11 13 ] [SL:OBSTRUCTION_AVOID 14 15 ] ]
Fun events going on this weekend	[IN:GET_EVENT [SL:DATE_TIME 4 6 ] ]
What is the route like to Chicago right now ?	[IN:GET_INFO_ROUTE [SL:DESTINATION 6 7 ] [SL:DATE_TIME_DEPARTURE 7 9 ] ]
How long will it take to get to the Selena Gomez concert ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 9 11 ] [SL:CATEGORY_EVENT 11 12 ] ] ] ]
whats happening in miami in february	[IN:GET_EVENT [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 6 ] ]
What is the Distance between Hawaii and California	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
How long to get to florida	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 5 6 ] ]
Is traffic heavier than normal in this weather	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION 6 8 ] ]
How long will it take me to get to Orlando Florida by car going 70mph	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 9 11 ] [SL:METHOD_TRAVEL 11 13 ] ]
Is there anything fun to do this weekend	[IN:GET_EVENT [SL:DATE_TIME 6 8 ] ]
romantic events near me next week	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION_USER 3 4 ] ] ] [SL:DATE_TIME 4 6 ] ]
is there a wreck on I69	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
Events in Henderson	[IN:GET_EVENT [SL:LOCATION 2 3 ] ]
Passion Parties this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:DATE_TIME 2 4 ] ]
Happening this weekend in Las Vegas	[IN:GET_EVENT [SL:DATE_TIME 1 3 ] [SL:LOCATION 4 6 ] ]
Things to do in Sacramento next weekend	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
please reroute using the fastest route	[IN:UPDATE_DIRECTIONS ]
how many miles from Boston to new York	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE 4 5 ] [SL:DESTINATION 6 8 ] ]
thanksgiving food drive near me	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
Where can I catch a concert this evening	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 6 ] [SL:DATE_TIME 6 8 ] ]
Country line dancing close	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 3 4 ] ] ] ]
What time will the New Year 's Eve celebration start in Dayton	[IN:GET_EVENT [SL:DATE_TIME 4 8 ] [SL:CATEGORY_EVENT 8 9 ] [SL:LOCATION 11 12 ] ]
How long will it take to make it to Des Moine from Oklahoma City with the flooding ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 9 11 ] [SL:SOURCE 12 14 ] [SL:ROAD_CONDITION 15 17 ] ]
Anything to do in Nederland tomorrow	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 6 ] ]
How long is the distance between London and Birmingham via new street today	[IN:GET_DISTANCE [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] [SL:PATH 10 12 ] [SL:DATE_TIME_DEPARTURE 12 13 ] ]
What is the traffic like in NYC today	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 8 ] ]
how long is it to the houston zoo	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] ]
things to do next weekend	[IN:GET_EVENT [SL:DATE_TIME 3 5 ] ]
Is there any construction on 80	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
will i make my 8 am appointment if i leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT 3 4 ] [SL:DATE_TIME 4 6 ] [SL:CATEGORY_EVENT 6 7 ] ] ] [SL:DATE_TIME_DEPARTURE 10 11 ] ]
What is the distance between Bullhead City and Scottsdale	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
What events will be fun for the kids	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 6 8 ] ]
Are there roadworks that would cause any delay	[IN:GET_INFO_TRAFFIC ]
list any concerts near me	[IN:GET_EVENT [SL:CATEGORY_EVENT 2 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
Is there a lot of traffic in the tunnel today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 7 9 ] ] ] [SL:DATE_TIME 9 10 ] ]
How long will it take me to drive to Orange Beach without getting on any interstates or toll roads ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION 9 11 ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION 15 16 ] ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION 17 19 ] ] ] ]
How long does it take to get to California from Canada ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 8 9 ] [SL:SOURCE 10 11 ] ]
What 's the quickest route to Las Vegas	[IN:GET_DIRECTIONS [SL:DESTINATION 6 8 ] ]
How heavy the traffic now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 5 ] ]
Showings of Titanic tomorrow night at 9 pm	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 3 ] [SL:DATE_TIME 3 8 ] ]
If I walk to school , what time will I need to leave to get there at 9 ?	[IN:GET_ESTIMATED_DEPARTURE [SL:METHOD_TRAVEL 2 3 ] [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] [SL:DATE_TIME_ARRIVAL 16 18 ] ]
How bad is the traffic on I495	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 7 ] ]
How far is it between Mandalay Bay at the Stratosphere	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 5 7 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 10 ] ] ] ]
What is the distance between Little Rock and Detroit	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
Display art shows happening Sunday	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 4 5 ] ]
